Website,ID_Leaking_Count,Cookie_Sync_Count,Fingerprinting_Count,Total_Violations,Is_Compliant
mail.google.com,0,0,0,0,True
amazon.co.uk,1,0,0,1,False
dropbox.com,0,0,0,0,True
microsoft.com,3,4,0,7,False
pinterest.fr,1,0,0,1,False
gmail.com,0,0,0,0,True
adobe.com,0,0,0,0,True
google.es,0,0,0,0,True
mirror.co.uk,1,0,0,1,False
cloudflare.com,4,1,0,5,False
yelp.com,1,0,0,1,False
samsung.com,9,4,0,13,False
google.fr,0,0,0,0,True
t.co,0,0,0,0,True
sedo.com,1,2,0,3,False
ig.com.br,2,4,0,6,False
get.google.com,0,0,0,0,True
imdb.com,2,28,0,30,False
elpais.com,3,0,0,3,False
issuu.com,0,0,0,0,True
medium.com,1,0,0,1,False
nih.gov,0,0,0,0,True
businessinsider.com,13,18,0,31,False
hugedomains.com,0,0,0,0,True
ovh.com,4,1,0,5,False
search.google.com,0,0,0,0,True
plus.google.com,0,0,0,0,True
globo.com,8,24,0,32,False
mediafire.com,0,0,0,0,True
shutterstock.com,1,0,0,1,False
adssettings.google.com,0,0,0,0,True
en.wikipedia.org,0,0,0,0,True
bloglovin.com,1,3,0,4,False
europa.eu,0,0,0,0,True
books.google.com,0,0,0,0,True
vkontakte.ru,4,0,2,6,False
storage.googleapis.com,0,0,0,0,True
googleblog.com,0,0,0,0,True
w3.org,0,0,0,0,True
4shared.com,0,0,0,0,True
brandbucket.com,3,0,0,3,False
webnode.page,0,0,0,0,True
addthis.com,0,0,0,0,True
cnet.com,8,23,0,31,False
disney.com,1,0,0,1,False
twitch.tv,2,1,0,3,False
translate.google.com,0,0,0,0,True
cpanel.net,1,2,0,3,False
blogger.com,0,0,0,0,True
fb.com,0,0,0,0,True
myspace.com,0,0,0,0,True
docs.google.com,0,0,0,0,True
github.com,0,0,0,0,True
wiley.com,0,0,0,0,True
un.org,0,0,0,0,True
fr.wikipedia.org,0,0,0,0,True
20minutos.es,0,0,0,0,True
telegram.me,0,0,0,0,True
bit.ly,2,0,0,2,False
wix.com,2,0,0,2,False
cdc.gov,2,0,0,2,False
time.com,7,33,0,40,False
academia.edu,0,0,0,0,True
gov.uk,0,0,0,0,True
000webhost.com,2,0,0,2,False
nginx.org,0,0,0,0,True
sites.google.com,0,0,0,0,True
eventbrite.com,7,0,0,7,False
mozilla.com,0,0,0,0,True
reg.ru,3,1,0,4,False
vimeo.com,2,0,0,2,False
vk.com,3,0,2,5,False
telegraph.co.uk,8,34,0,42,False
slideshare.net,1,0,0,1,False
aliexpress.com,7,21,0,28,False
researchgate.net,0,0,0,0,True
developers.google.com,0,0,0,0,True
wordpress.org,0,0,0,0,True
amazon.co.jp,1,15,0,16,False
doubleclick.net,0,0,0,0,True
cbsnews.com,11,12,0,23,False
instagram.com,0,0,0,0,True
bbc.com,7,0,0,7,False
nytimes.com,3,32,0,35,False
shopify.com,3,0,0,3,False
line.me,0,0,0,0,True
tools.google.com,1,0,0,1,False
stanford.edu,2,0,0,2,False
zendesk.com,11,5,0,16,False
gov.br,0,0,0,0,True
imageshack.us,0,0,0,0,True
icann.org,0,0,0,0,True
spotify.com,0,0,0,0,True
buydomains.com,0,0,0,0,True
who.int,1,1,0,2,False
pt.wikipedia.org,0,0,0,0,True
sedoparking.com,0,0,0,0,True
domainmarket.com,3,0,0,3,False
dailymail.co.uk,9,13,0,22,False
picasaweb.google.com,0,0,0,0,True
drive.google.com,0,0,0,0,True
guardian.co.uk,4,42,0,46,False
usatoday.com,6,70,0,76,False
hatena.ne.jp,0,20,0,20,False
dan.com,2,0,0,2,False
yahoo.com,3,27,0,30,False
booking.com,0,0,0,0,True
policies.google.com,0,0,0,0,True
google.de,0,0,0,0,True
