Website,ID_Leaking,Cookie_Sync,Fingerprinting,Total_Violations,Compliant,Region
mail.google.com,0,0,0,0,Yes,US
amazon.co.uk,1,0,0,1,No,EU
dropbox.com,0,0,0,0,Yes,US
microsoft.com,3,4,0,7,No,US
pinterest.fr,1,0,0,1,No,EU
gmail.com,0,0,0,0,Yes,US
adobe.com,0,0,0,0,Yes,US
google.es,0,0,0,0,Yes,EU
mirror.co.uk,1,0,0,1,No,EU
cloudflare.com,4,1,0,5,No,US
yelp.com,1,0,0,1,No,US
samsung.com,9,4,0,13,No,US
google.fr,0,0,0,0,Yes,EU
t.co,0,0,0,0,Yes,US
sedo.com,1,2,0,3,No,US
ig.com.br,2,4,0,6,No,US
get.google.com,0,0,0,0,Yes,US
imdb.com,2,28,0,30,No,US
elpais.com,3,0,0,3,No,EU
issuu.com,0,0,0,0,Yes,US
medium.com,1,0,0,1,No,US
nih.gov,0,0,0,0,Yes,US
businessinsider.com,13,18,0,31,No,US
hugedomains.com,0,0,0,0,Yes,US
ovh.com,4,1,0,5,No,US
search.google.com,0,0,0,0,Yes,US
plus.google.com,0,0,0,0,Yes,US
globo.com,8,24,0,32,No,US
mediafire.com,0,0,0,0,Yes,US
shutterstock.com,1,0,0,1,No,US
adssettings.google.com,0,0,0,0,Yes,US
en.wikipedia.org,0,0,0,0,Yes,US
bloglovin.com,1,3,0,4,No,US
europa.eu,0,0,0,0,Yes,EU
books.google.com,0,0,0,0,Yes,US
vkontakte.ru,4,0,2,6,No,US
storage.googleapis.com,0,0,0,0,Yes,US
googleblog.com,0,0,0,0,Yes,US
w3.org,0,0,0,0,Yes,US
4shared.com,0,0,0,0,Yes,US
brandbucket.com,3,0,0,3,No,US
webnode.page,0,0,0,0,Yes,US
addthis.com,0,0,0,0,Yes,US
cnet.com,8,23,0,31,No,US
disney.com,1,0,0,1,No,US
twitch.tv,2,1,0,3,No,US
translate.google.com,0,0,0,0,Yes,US
cpanel.net,1,2,0,3,No,US
blogger.com,0,0,0,0,Yes,US
fb.com,0,0,0,0,Yes,US
myspace.com,0,0,0,0,Yes,US
docs.google.com,0,0,0,0,Yes,US
